,SalePrice,GarageArea,LotArea,TotalBsmtSF,GrLivArea,2ndFlrSF,1stFlrSF
0,208500,548,8450,856,1710,854,856
1,181500,460,9600,1262,1262,0,1262
2,223500,608,11250,920,1786,866,920
3,140000,642,9550,756,1717,756,961
4,250000,836,14260,1145,2198,1053,1145
5,143000,480,14115,796,1362,566,796
6,307000,636,10084,1686,1694,0,1694
7,200000,484,10382,1107,2090,983,1107
8,129900,468,6120,952,1774,752,1022
9,118000,205,7420,991,1077,0,1077
10,129500,384,11200,1040,1040,0,1040
11,345000,736,11924,1175,2324,1142,1182
12,144000,352,12968,912,912,0,912
13,279500,840,10652,1494,1494,0,1494
14,157000,352,10920,1253,1253,0,1253
15,132000,576,6120,832,854,0,854
16,149000,480,11241,1004,1004,0,1004
17,90000,516,10791,0,1296,0,1296
18,159000,576,13695,1114,1114,0,1114
19,139000,294,7560,1029,1339,0,1339
20,325300,853,14215,1158,2376,1218,1158
21,139400,280,7449,637,1108,0,1108
22,230000,534,9742,1777,1795,0,1795
23,129900,572,4224,1040,1060,0,1060
24,154000,270,8246,1060,1060,0,1060
25,256300,890,14230,1566,1600,0,1600
26,134800,576,7200,900,900,0,900
27,306000,772,11478,1704,1704,0,1704
28,207500,319,16321,1484,1600,0,1600
29,68500,240,6324,520,520,0,520
30,40000,250,8500,649,1317,668,649
31,149350,271,8544,1228,1228,0,1228
32,179900,484,11049,1234,1234,0,1234
33,165500,447,10552,1398,1700,0,1700
34,277500,556,7313,1561,1561,0,1561
35,309000,691,13418,1117,2452,1320,1132
36,145000,672,10859,1097,1097,0,1097
37,153000,498,8532,1297,1297,0,1297
38,109000,246,7922,1057,1057,0,1057
39,82000,0,6040,0,1152,0,1152
40,160000,440,8658,1088,1324,0,1324
41,170000,308,16905,1350,1328,0,1328
42,144000,504,9180,840,884,0,884
43,130250,308,9200,938,938,0,938
44,141000,300,7945,1150,1150,0,1150
45,319900,576,7658,1752,1752,0,1752
46,239686,670,12822,1434,2149,631,1518
47,249700,826,11096,1656,1656,0,1656
48,113000,0,4456,736,1452,716,736
49,127000,386,7742,955,955,0,955
50,177000,388,13869,794,1470,676,794
51,114500,528,6240,816,1176,0,816
52,110000,516,8472,816,816,0,816
53,385000,894,50271,1842,1842,0,1842
54,130000,572,7134,384,1360,0,1360
55,180500,576,10175,1425,1425,0,1425
56,172500,480,2645,970,1739,756,983
57,196500,565,11645,860,1720,860,860
58,438780,641,13682,1410,2945,1519,1426
59,124900,352,7200,780,780,0,780
60,158000,576,13072,1158,1158,0,1158
61,101000,288,7200,530,1111,530,581
62,202500,484,6442,1370,1370,0,1370
63,140000,480,10300,576,1710,808,902
64,219500,645,9375,1057,2034,977,1057
65,317000,852,9591,1143,2473,1330,1143
66,180000,576,19900,1947,2207,0,2207
67,226000,558,10665,1453,1479,0,1479
68,80000,220,4608,747,747,0,747
69,225000,667,15593,1304,2287,983,1304
70,244000,516,13651,2223,2223,0,2223
71,129500,360,7599,845,845,0,845
72,185000,427,10141,832,1718,833,885
73,144900,490,10200,1086,1086,0,1086
74,107400,379,5790,840,1605,765,840
75,91000,297,1596,462,988,462,526
76,135750,283,8475,952,952,0,952
77,127000,240,8635,672,1285,213,1072
78,136500,0,10778,1768,1768,0,1768
79,110000,440,10440,440,1230,548,682
80,193500,509,13000,896,2142,960,1182
81,153500,405,4500,1237,1337,0,1337
82,245000,758,10206,1563,1563,0,1563
83,126500,461,8892,1065,1065,0,1065
84,168500,400,8530,384,1474,670,804
85,260000,462,16059,1288,2417,1116,1301
86,174000,400,11911,684,1560,876,684
87,164500,528,3951,612,1224,612,612
88,85000,0,8470,1013,1526,0,1013
89,123600,0,8070,990,990,0,990
90,109900,420,7200,0,1040,0,1040
91,98600,480,8500,1235,1235,0,1235
92,163500,432,13360,876,964,0,964
93,133900,506,7200,1214,2291,1031,1260
94,204750,684,9337,824,1786,881,905
95,185000,420,9765,680,1470,790,680
96,214000,472,10264,1588,1588,0,1588
97,94750,432,10921,960,960,0,960
98,83000,366,10625,458,835,0,835
99,128950,0,9320,950,1225,0,1225
100,205000,480,10603,1610,1610,0,1610
101,178000,476,9206,741,1732,755,977
102,118964,410,7018,0,1535,0,1535
103,198900,740,10402,1226,1226,0,1226
104,169500,240,7758,1040,1818,592,1226
105,250000,648,9375,1053,1992,939,1053
106,100000,273,10800,641,1047,0,1047
107,115000,250,6000,789,789,0,789
108,115000,0,8500,793,1517,520,997
109,190000,546,11751,1844,1844,0,1844
110,136900,325,9525,994,1855,639,1216
111,180000,400,7750,384,1430,656,774
112,383970,792,9965,1264,2696,1414,1282
113,217000,450,21000,1809,2259,0,2259
114,259500,180,7259,1028,2320,884,1436
115,176000,440,3230,729,1458,729,729
116,139000,288,11616,1092,1092,0,1092
117,155000,430,8536,1125,1125,0,1125
118,320000,594,12376,1673,3222,1523,1699
119,163990,390,8461,728,1456,728,728
120,180000,540,21453,938,988,0,988
121,100000,264,6060,732,1123,351,772
122,136000,288,9464,1080,1080,0,1080
123,153900,530,7892,1199,1199,0,1199
124,181000,435,17043,1362,1586,0,1586
125,84500,0,6780,520,754,0,520
126,128000,440,4928,1078,958,0,958
127,87000,0,4388,672,840,0,840
128,155000,453,7590,660,1348,688,660
129,150000,750,8973,1008,1053,0,1053
130,226000,487,14200,924,2157,941,1216
131,244000,390,12224,992,2054,1032,1022
132,150750,624,7388,1063,1327,0,1327
133,220000,471,6853,1267,1296,0,1296
134,180000,440,10335,1461,1721,0,1721
135,174000,530,10400,1304,1682,0,1682
136,143000,318,10355,1214,1214,0,1214
137,171000,766,11070,1907,1959,0,1959
138,230000,660,9066,1004,1852,848,1004
139,231500,470,15426,928,1764,836,928
140,115000,0,10500,864,864,0,864
141,260000,660,11645,1734,1734,0,1734
142,166000,720,8520,910,1385,475,910
143,204000,577,10335,1490,1501,0,1501
144,125000,504,9100,1728,1728,0,1728
145,130000,380,2522,970,1709,739,970
146,105000,180,6120,715,875,0,875
147,222500,434,9505,884,2035,1151,884
148,141000,0,7500,1080,1080,0,1080
149,115000,240,6240,896,1344,448,896
150,122000,440,10356,969,969,0,969
151,372402,866,13891,1710,1710,0,1710
152,190000,495,14803,825,1993,896,1097
153,235000,564,13500,1602,1252,0,1252
154,125000,312,11340,1200,1200,0,1200
155,79000,0,9600,572,1096,524,572
156,109500,625,7200,0,1040,0,1040
157,269500,680,12003,774,1968,1194,774
158,254900,678,12552,991,1947,956,991
159,320000,576,19378,1392,2462,1070,1392
160,162500,516,11120,1232,1232,0,1232
161,412500,726,13688,1572,2668,1096,1572
162,220000,532,12182,1541,1541,0,1541
163,103200,0,5500,882,882,0,882
164,152000,216,5400,1149,1616,467,1149
165,127500,0,10106,644,1355,547,808
166,190000,303,10708,1617,1867,0,1867
167,325624,789,10562,1582,2161,551,1610
168,183500,440,8244,840,1720,880,840
169,228000,511,16669,1686,1707,0,1707
170,128500,660,12358,720,1382,0,854
171,215000,528,31770,1080,1656,0,1656
172,239000,504,5306,1064,1767,703,1064
173,163000,504,10197,1362,1362,0,1362
174,184000,616,12416,1606,1651,0,1651
175,243000,576,12615,1202,2158,0,2158
176,211000,521,10029,1151,2060,896,1164
177,172500,451,13650,1052,1920,668,1252
178,501837,1166,17423,2216,2234,0,2234
179,100000,480,8520,968,968,0,968
180,177000,440,2117,756,1525,756,769
181,200100,216,7588,793,1802,901,901
182,120000,252,9060,0,1340,0,1340
183,200000,484,11426,1362,2082,720,1362
184,127000,576,7438,504,1252,316,936
185,475000,840,22950,1107,3608,1518,1518
186,173000,497,9947,1188,1217,0,1217
187,135000,180,10410,660,1656,704,808
188,153337,528,7018,1086,1224,0,1224
189,286000,682,4923,1593,1593,0,1593
190,315000,440,10570,853,2727,1178,1549
191,184000,484,7472,725,1479,754,725
192,192000,666,9017,1431,1431,0,1431
194,127000,352,7180,864,864,0,864
195,148500,440,2280,855,1456,601,855
196,311872,786,9416,1726,1726,0,1726
197,235000,795,25419,1360,3112,1360,1360
198,104000,0,5520,755,2229,929,929
199,274900,856,9591,1713,1713,0,1713
200,140000,440,8546,1121,1121,0,1121
201,171500,473,10125,1196,1279,0,1279
202,112000,398,7000,617,1310,445,865
203,149000,420,4438,848,848,0,848
204,110000,240,3500,720,1284,564,720
205,180500,500,11851,1424,1442,0,1442
206,143900,349,13673,1140,1696,0,1696
207,141000,312,12493,1100,1100,0,1100
208,277000,454,14364,1157,2062,882,1180
209,145000,504,8250,1092,1092,0,1092
210,98000,0,5604,864,864,0,864
211,186000,460,10420,1212,1212,0,1212
212,252678,644,8640,900,1852,920,932
213,156000,576,13568,990,990,0,990
214,161750,299,10900,689,1392,703,689
215,134450,447,10011,1070,1236,0,1236
216,210000,484,8450,1436,1436,0,1436
217,107000,210,9906,686,1328,518,810
218,311500,431,15660,798,1954,817,1137
219,167240,438,3010,1248,1248,0,1248
220,204900,675,8990,1498,1498,0,1498
221,200000,390,8068,1010,2267,1257,1010
222,179900,434,11475,713,1552,741,811
223,97000,576,10500,864,864,0,864
224,386250,968,13472,2392,2392,0,2392
225,112000,280,1680,630,1302,672,630
226,290000,721,9950,1203,2520,1306,1214
227,106000,280,1869,483,987,504,483
228,125000,336,8521,912,912,0,912
229,192500,430,3182,1373,1555,0,1555
230,148000,312,8760,1194,1194,0,1194
231,403000,810,15138,1462,2794,1304,1490
232,94500,288,1680,483,987,504,483
233,128200,308,10650,894,894,0,894
234,216500,440,7851,860,1960,1100,860
235,89500,264,1680,483,987,504,483
236,185500,494,8773,1414,1414,0,1414
237,194500,457,9453,996,1744,730,1014
238,318000,818,12030,1694,1694,0,1694
239,113000,220,8741,735,1487,689,798
240,262500,750,9000,1566,1566,0,1566
241,110500,0,3880,686,866,0,866
242,79000,352,5000,540,1440,551,889
243,120000,288,10762,626,1217,591,626
244,205000,463,8880,948,2110,888,1222
245,241500,604,10400,1845,1872,0,1872
246,137000,440,9142,1020,1928,1020,908
247,140000,451,11310,1367,1375,0,1375
248,180000,500,11317,840,1668,828,840
249,277000,389,159000,1444,2144,700,1444
250,76500,0,5350,728,1306,0,1306
251,235000,538,4750,1573,1625,0,1625
252,173000,520,8366,798,1640,842,798
253,158000,309,9350,1302,1302,0,1302
254,145000,294,8400,1314,1314,0,1314
255,230000,429,8738,975,2291,1286,1005
256,207500,673,8791,864,1728,864,864
257,220000,660,8814,1604,1604,0,1604
258,231500,564,12435,963,1792,829,963
259,97000,308,12702,0,882,0,882
260,176000,884,19296,1362,1382,0,1382
261,276000,868,9588,1482,2574,1092,1482
262,151000,492,8471,506,1212,0,1212
263,130000,484,5500,926,1316,0,926
264,73000,504,5232,680,764,0,764
265,175500,576,12090,1422,1422,0,1422
266,185000,413,11207,802,1511,709,802
267,179500,240,8400,720,2192,720,1052
268,120500,924,6900,740,778,0,778
269,148000,504,7917,1143,1113,0,1113
270,266000,1053,10728,1095,1939,844,1095
271,241500,439,39104,1385,1363,0,1363
272,290000,671,11764,1152,2270,1106,1164
273,139000,338,9600,1240,1632,0,1632
274,124500,264,8314,816,816,0,816
275,205000,672,7264,952,1548,596,952
276,201000,573,9196,1560,1560,0,1560
277,141000,400,19138,864,864,0,864
278,415298,732,14450,2121,2121,0,2121
279,192000,505,10005,1160,2022,866,1156
280,228500,575,11287,807,1982,807,1175
281,185000,572,7200,1262,1262,0,1262
282,207500,626,5063,1314,1314,0,1314
283,244600,898,9612,1468,1468,0,1468
284,179200,529,8012,1575,1575,0,1575
285,164700,528,4251,625,1250,625,625
286,159000,440,9786,912,1734,649,1085
287,88000,0,8125,858,858,0,858
288,122000,280,9819,882,900,0,900
289,153575,384,8730,698,1396,698,698
290,233230,685,15611,1079,1919,840,1079
291,135900,0,5687,780,1716,780,936
292,131000,281,11409,768,1716,568,1148
293,235000,539,16659,795,2263,795,1468
294,167000,418,9600,1416,1644,0,1644
295,142500,588,7937,1003,1003,0,1003
296,152000,282,13710,910,1558,648,910
297,239000,576,7399,975,1950,975,975
298,175000,539,11700,702,1743,702,1041
299,158500,300,14000,1092,1152,0,1152
300,157000,375,15750,1165,1336,0,1336
301,267000,683,16226,1028,2452,1242,1210
302,205000,843,13704,1541,1541,0,1541
303,149900,552,9800,894,894,0,894
304,295000,870,18386,1470,3493,1818,1675
305,305900,888,10386,2000,2000,0,2000
306,225000,746,13474,700,2243,1121,1122
307,89500,0,7920,319,1406,371,1035
308,82500,539,12342,861,861,0,861
309,360000,708,12378,1896,1944,0,1944
310,165600,420,7685,697,1501,804,697
311,132000,240,8000,972,972,0,972
312,119900,410,7800,793,1118,325,793
